Juego; Calificacion Critico; Calificacion Usuario; Promedio
Mario vs. Donkey Kong: Tipping Stars;70;7.4;38
Kirby and the Rainbow Curse;73;8.0;40
Pokemon Shuffle;56;6.1;31
The Legend of Zelda: Majora's Mask 3D;89;8.9;48
Flipnote Studio 3D;;6.9;0
Hyrule Warriors: Majora's Mask Pack;;8.0;0
Captain Toad: Treasure Tracker;81;8.6;44
NES Remix Pack;;8.6;0
Hyrule Warriors: Twilight Princess Pack;;8.3;0
Super Smash Bros. for Wii U;92;8.9;50
Pokemon Alpha Sapphire;82;7.6;44
Pokemon Omega Ruby;83;7.5;45
Pokemon Omega Ruby/Alpha Sapphire Double Pack;;7.4;0
Mario Kart 8 DLC Pack 1;87;8.2;47
Ultimate NES Remix;69;7.4;38
Pokemon Art Academy;76;7.8;41
Bayonetta;86;8.8;47
Fantasy Life;73;8.4;40
Bayonetta + Bayonetta 2;;8.2;0
Hyrule Warriors: Master Quest Pack;;7.9;0
Super Smash Bros. for Nintendo 3DS;85;8.4;46
Hyrule Warriors;76;8.3;42
Bayonetta 2;91;8.9;49
Professor Layton VS Phoenix Wright Ace Attorney;79;8.2;43
Dedede's Drum Dash Deluxe;65;7.3;36
Kirby Fighters Deluxe;66;6.1;36
The Mysterious Murasame Castle;;;0
Pushmo World;80;8.0;44
Inazuma Eleven Go: Shadow;75;7.2;41
Inazuma Eleven Go: Light;74;7.6;40
Tomodachi Life;71;7.7;39
Mario Kart 8;88;8.7;48
Photos with Mario;;6.9;0
Kirby: Triple Deluxe;80;8.6;44
Mario Golf: World Tour;78;8.1;43
NES Remix 2;73;8.0;40
Nintendo Pocket Football Club;65;7.7;36
Disney Magical World;71;7.5;39
Rusty's Real Deal Baseball;74;7.7;40
Pokemon Battle Trozei;70;7.3;38
Yoshi's New Island;64;6.1;35
Professor Layton and the Azran Legacy;81;8.1;44
Donkey Kong Country: Tropical Freeze;83;8.9;45
Inazuma Eleven 3: Team Ogre Attacks!;70;8.0;39
Steel Diver: Sub Wars;70;7.6;38
Bravely Default;85;8.4;46
Poke Transporter;;;0
Pokemon Bank;;5.9;0
Chibi-Robo! Photo Finder;49;7.6;28
Dr. Luigi;65;7.3;36
NES Remix;71;7.3;39
Nintendo 3DS Guide: Louvre;;;0
Mario Party: Island Tour;57;5.9;31
The Legend of Zelda: A Link Between Worlds;91;9.0;50
Super Mario 3D World;93;8.9;50
Mario & Sonic at the Sochi 2014 Olympic Winter Games;55;6.5;30
Wii Sports Club;68;7.0;37
Wii Fit U;72;7.7;39
New Super Mario Bros. U + New Super Luigi U;;8.7;0
Wii Party U;65;7.1;36
Pokemon X;87;7.5;47
Pokemon Y;88;7.5;47
Inazuma Eleven 3: Lightning Bolt;70;8.1;39
Inazuma Eleven 3: Bomb Blast;72;8.1;40
The Legend of Zelda: The Wind Waker HD;90;9.0;49
The Wonderful 101;78;8.6;43
Pokemon Rumble U;49;5.2;27
Mario & Luigi: Dream Team;81;8.3;44
Art Academy: SketchPad;70;6.3;38
Animal Crossing Plaza;;5.2;0
Pikmin 3;87;8.8;47
Game & Wario;61;6.7;33
New Super Luigi U;77;8.0;42
Animal Crossing: New Leaf;88;8.7;48
Donkey Kong Country Returns 3D;83;8.2;45
Fire Emblem: Awakening - The Future Past 3;;;0
Fire Emblem: Awakening - Apotheosis;;7.5;0
Fire Emblem: Awakening - The Future Past 2;;;0
Mario and Donkey Kong: Minis on the Move;78;7.2;42
Fire Emblem: Awakening - The Future Past 1;;;0
Fire Emblem: Awakening - Hot Spring Scramble;;;0
Fire Emblem: Awakening - Summer Scramble;;;0
Wii U Panorama View;;5.4;0
Fire Emblem: Awakening - The Radiant Hero;;;0
Fire Emblem: Awakening - Harvest Scramble;;;0
Fire Emblem: Awakening - Roster Rescue;;;0
LEGO City Undercover: The Chase Begins;62;6.7;34
Fire Emblem: Awakening - Five-Anna Firefight;;;0
Dillon's Rolling Western: The Last Ranger;68;7.0;37
Fire Emblem: Awakening - Rogues and Redeemers 3;;;0
Fire Emblem: Awakening - The Wellspring of Truth;;7.0;0
Fire Emblem: Awakening - Death's Embrace;;;0
Fire Emblem: Awakening - Rogues and Redeemers 2;;;0
HarmoKnight;73;7.4;40
Fire Emblem: Awakening - Ghost of Blade;;;0
Fire Emblem: Awakening - Rogues and Redeemers 1;;;0
Fire Emblem: Awakening - Smash Brethren 3;;;0
Luigi's Mansion: Dark Moon;86;8.4;47
Pokemon Mystery Dungeon: Gates to Infinity;59;6.3;32
Fire Emblem: Awakening - Smash Brethren 2;;;0
LEGO City Undercover;80;8.2;44
Fire Emblem: Awakening - Smash Brethren 1;;;0
Fire Emblem: Awakening - Lost Bloodlines 3;;;0
Fire Emblem: Awakening - A Hard Miracle;;;0
Kersploosh!;62;7.0;34
Fire Emblem: Awakening - Lost Bloodlines 2;;;0
Fire Emblem: Awakening - Infinite Regalia;;;0
Fire Emblem: Awakening - EXPonential Growth;;;0
Fire Emblem: Awakening - Irreconcilable Paths;;;0
Fire Emblem: Awakening - Lost Bloodlines 1;;;0
Wii Street U;;5.9;0
Fire Emblem: Awakening - Champions of Yore 3;;;0
Fire Emblem: Awakening - The Golden Gaffe;;;0
Fire Emblem: Awakening - The Dead King's Lament;;;0
Brain Age: Concentration Training;69;7.2;38
Fire Emblem: Awakening - Champions of Yore 2;;;0
Fire Emblem: Awakening;92;9.0;50
Fire Emblem: Awakening - Champions of Yore 1;;;0
Tokyo Crash Mobs;68;7.4;37
Chase Mii;;;0
Fluidity: Spin Cycle;78;6.6;42
New Super Mario Bros. 2: Mystery Adventure Pack;;7.7;0
New Super Mario Bros. 2: Impossible Pack;;7.6;0
New Super Mario Bros. 2: Coin Challenge Pack C;;7.6;0
New Super Mario Bros. 2: Platform Panic Pack;;7.0;0
New Super Mario Bros. 2: Gold Classics Pack;;7.1;0
Crashmo;86;8.2;47
New Super Mario Bros. U;84;8.0;46
Ninja Gaiden 3: Razor's Edge;69;7.4;38
SiNG Party;60;6.1;33
Nintendo Land;77;7.9;42
Paper Mario: Sticker Star;75;5.5;40
Pokedex 3D Pro;59;4.3;31
Freakyforms Deluxe: Your Creations, Alive!;63;7.5;35
Professor Layton and the Miracle Mask;82;8.1;45
New Super Mario Bros. 2: Coin Challenge Pack B;;7.1;0
New Super Mario Bros. 2: Gold Mushroom Pack;;7.1;0
Style Savvy: Trendsetters;76;7.6;41
Sparkle Snapshots 3D;67;;0
Wii Sports/Wii Sports Resort;;8.4;0
Pokemon Black Version 2;80;8.1;44
Pokemon White Version 2;80;8.0;44
Pokemon Dream Radar;54;5.9;29
New Super Mario Bros. 2: Coin Challenge Pack A;;7.9;0
New Super Mario Bros. 2: Gold Rush Pack;;7.3;0
New Super Mario Bros. 2: Nerve-Wrack Pack;;7.5;0
Art Academy: Lessons for Everyone;81;7.5;44
Art Academy: Lessons for Everyone;;;0
Crosswords Plus;;7.8;0
Inazuma Eleven Strikers;59;8.3;33
Kirby's Dream Collection: Special Edition;82;8.9;45
New Super Mario Bros. 2;78;7.1;42
Project Zero 2: Wii Edition;77;8.4;42
Pokemon Conquest;80;8.1;44
New Play Control! Pikmin 2;;8.7;0
Mario Tennis Open;69;6.9;37
Spirit Camera: The Cursed Memoir;54;6.4;30
Ketzal's Corridors;76;7.6;41
